Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2015-01-01,Bengaluru,Transport,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",Series C,Pitstop,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,3500000.0
1999-01-01,Gujarat,Finance,"Harshvardhan Lunia, Mukul Sachan",Inflection Point Ventures,Seed Funding,Lendingkart,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,15000000.0
2018-01-01,Bengaluru,Finance,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",Series D,CRED,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,215000000.0
2015-01-01,Bengaluru,SaaS startup,Neeraj Tyagi,http://100x.vc/,Seed,Karnival,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,2500000.0
2015-01-01,Mumbai,HealthTech,"Aman Gupta, Sameer Mehta","TPG Growth, Caisse de Depot et Placement du Quebec",Series E,PharmEasy,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.",350000000.0
1989-01-01,Mumbai,Renewable Energy,Hitesh Doshi,We Founder Circle,Seed,WESS,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,2000000.0
2020-01-01,Mumbai,Finance,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",Seed Funding,ShopSe,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,5500000.0
2020-01-01,Gurugram,Fantasy sports,Amit Purohit,Harsha Bhogle,Series A+,Fantasy Akhada,Fantasy Akhada offers fantasy sports platform for cricket and football.,600000.0
2018-01-01,New Delhi,Food & Beverages,Bharat Sethi,"GetVantage, Prakash Katama",Series A+,Rage Coffee,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,4000000.0
2017-01-01,Bengaluru,Finance,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",Series D,Groww,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,83000000.0
2016-01-01,Bengaluru,Finance,Utham Gowda,Michael & Susan Dell Foundation,Series A,Avanti Finance,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,26000000.0
2014-01-01,Pune,Finance,Naresh Vigh,Marquee fintech founders,Series D,Kudos,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",4000000.0
2015-01-01,Gurugram,Finance,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge India, Norwest Venture Partners",Series A,OfBusiness,OfBusiness is a financing platform that offers smart financing to SMEs.,110000000.0
2019-01-01,Bengaluru,Video communication,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar","SOSV, Omphalos Ventures India",Seed,Superpro.ai,Enabling independent professionals to bring offline consulting online with AI,3000000.0
2015-01-01,Bengaluru,Social Media,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal",Venture - Series Unknown,ShareChat,ShareChat is a social networking and regional content platform.,500000000.0
2020-01-01,Gurugram,Skill development,Anuranjita Kumar,CitiusTech,Seed,WiT-ACE,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",1000000.0
2015-01-01,Gurugram,Retail,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",Series C,Spinny,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,65000000.0
2018-01-01,Mumbai,Finance,Vinod Murali,Sequoia Capital India,Private Equity,Alteria Capital,Alteria Capital is a Venture debt firm .,150000000000.0
2017-01-01,Thane,Finance,Ravi Gupta,"T Choithrams BVI, Ardor",Series A+,Safexpay,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,6000000.0
2018-01-01,Gurugram,Rental,"Tarun Lawadia, Sameer Kalra",Alteria Capital,Series B+,PumPumPum,Pumpumpum is a car rental company.,700000.0
2017-01-01,Bengaluru,Finance,"Vishesh Rajaram, Arjun Rao",Better Capital,Series G,Speciale Invest,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,10000000.0
2016-01-01,Hyderabad,E-commerce,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",Series H,Eunimart,Eunimart is a one stop solution for merchants to create a difference by selling globally.,700000.0
2015-01-01,Bengaluru,E-commerce,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",Series A,Meesho,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,300000000.0
2019-01-01,Bengaluru,EdTech,"PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,Series D,CareerLabs,"Aim to help students become future-ready, setting them on a path to success that suits them best.",2200000.0
2020-01-01,Bengaluru,EdTech,Saurabh Saxena,"JAFCO Asia, Chiratae Ventures",Series D,Uable,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,35000000.0
2016-01-01,Bengaluru,Tech Startup,"Arjun Paul, Aromal Sivadasan",Y Combinator,Seed,Zoko,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.",140000000.0
2019-01-01,Gurugram,Recruitment,Rahul Veerwal,Artha Venture Fund,Seed,GetWork,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,200000.0
2015-01-01,Pune,E-commerce,Rohit Prasad,"Jitendra Gupta, Amrish Rau",Series A,Easebuzz,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,4000000.0
2018-01-01,Bengaluru,Social Media,Sumit Ghosh,"FJ Labs, Brian Norgard",Series I,Chingari,Chingari operates as a short video platform.,13000000.0
2017-01-01,Bengaluru,Retail,Apoorva Mishra,Indian Angel Network,Series A,DusMinute,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,1100000.0
2020-01-01,Bengaluru,HealthCare,"Kulin Shah, Yogesh Agarwal","Jitendra Gupta, Harsh Shah",Bridge,Onsurity,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,4000000.0
2019-01-01,Bengaluru,Finance,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,Series F,Karbon Card,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,4000000.0
2020-01-01,Bengaluru,SaaS startup,"Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",Series B+,Factors.AI,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers",2000000.0
2017-01-01,Mumbai,Sports,"Kunal Joshi, Pranav Marwah","Kalaari Capital, Dream Capital",Series F,Elevar,"A Revolutionary Sports Brand, Engineered For Those Who Want More.",2000000.0
2020-01-01,Bengaluru,Computer Games,"Abhaas Shah, Prateek Shah",Lumikai,Series B,Studio Sirah,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,800000.0
2018-01-01,Mumbai,Finance,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,Series I,OTO Capital,The Future Of Vehicle Ownership!,6000000.0
2016-01-01,Bengaluru,Consumer Goods,"Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,Early Seed,1Bridge,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village",2500000.0
2018-01-01,Gurugram,Finance,"Mayank Tewari, Tushar Srivastava",Bertelsmann India,Early Seed,Skeps,"A blockchain products company, developing a proprietary product in the FinTech space",9500000.0
2020-01-01,Bengaluru,Food & Beverages,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",Seed Funding,Curefoods,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,13000000.0
2015-01-01,Bengaluru,Information Technology,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",Fresh Funding,TartanSense,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,5000000.0
2012-01-01,Mumbai,Apparel & Fashion,Prabhkiran Singh,InvestCorp,Series B,Bewakoof,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",8000000.0
2018-01-01,New Delhi,Transport,"Tarun Jiwarajka, Pankhuri Jiwarajka",SucSEED Indovation Fund,Seed,Kirana247,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,1000000.0
2020-01-01,Computer Games,Computer Games,YC W21,"Pritesh Kumar, Bharat Gupta",Seed Funding,FanPlay,A real money game app specializing in trivia games,4000000.0
2020-01-01,Mumbai,Healthtech,"Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",Venture - Series Unknown,NeoDocs,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",4000000.0
2015-01-01,Cochin,Retail,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",Series H,IsGoingOnline,Kochi-based digital catalogue and marketplace IsGoingOnline,200000.0
2010-01-01,Gurugram,EdTech,Anshul Bhagi,"Matrix Partners India, Elevation Capital",Series D,Camp K12,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",12000000.0
2020-01-01,Bengaluru,Healthcare,Kajal Ilmi,"Avaana Capital, Orios Ventures",Series G,Elda Health,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",1500000.0
2020-01-01,Mumbai,SportsTech,G Srinivvasan,Punit Balan,Series E,Sporjo,A one stop destination to build a successful career in the Indian sports industry!,2000000.0
2014-01-01,Mumbai,HRTech,"Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",Series B+,Advantage Club,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",1700000.0
2017-01-01,Pune,Gaming,"Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",Seed Round,SuperGaming,"At SuperGaming, building India's best gaming company.",5500000.0
2020-01-01,New Delhi,Finance,Ankur Gupta,Eclear Leasing,Seed Round,Ruptok,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",1000000.0
2020-01-01,Bengaluru,Food & Beverages,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",Early Seed,Curefoods,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,13000000.0
2015-01-01,Bengaluru,Information Technology,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",Series A,TartanSense,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,5000000.0
2012-01-01,Mumbai,Apparel & Fashion,Prabhkiran Singh,InvestCorp,Series C,Bewakoof,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",8000000.0
2018-01-01,New Delhi,Transport,"Tarun Jiwarajka, Pankhuri Jiwarajka",SucSEED Indovation Fund,Series B,Kirana247,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,1000000.0
2020-01-01,Computer Games,Computer Games,YC W21,"Pritesh Kumar, Bharat Gupta",Fresh Funding,FanPlay,A real money game app specializing in trivia games,4000000.0
2020-01-01,Mumbai,Healthtech,"Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",Seed Funding,NeoDocs,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",4000000.0
2015-01-01,Cochin,Retail,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",Debt Financing,IsGoingOnline,Kochi-based digital catalogue and marketplace IsGoingOnline,200000.0
2010-01-01,Gurugram,EdTech,Anshul Bhagi,"Matrix Partners India, Elevation Capital",Series A,Camp K12,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",12000000.0
2020-01-01,Bengaluru,Healthcare,Kunal Shah,"Avaana Capital, Orios Ventures",Seed,Elda Health,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",1500000.0
2020-01-01,Mumbai,SportsTech,G Srinivvasan,Punit Balan,Series A,Sporjo,A one stop destination to build a successful career in the Indian sports industry!,2000000.0
2014-01-01,Mumbai,HRTech,"Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",Seed,Advantage Club,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",1700000.0
2017-01-01,Pune,Gaming,"Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",Series A,SuperGaming,"At SuperGaming, building India's best gaming company.",5500000.0
2020-01-01,New Delhi,Finance,Ankur Gupta,Eclear Leasing,Series D,Ruptok,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",1000000.0
2019-01-01,Bengaluru,Wine & Spirits,Nitesh Prakash,"First Cheque, Letsventure",Series E,O’ Be Cocktails,India’s first and only Ready to Drink Premium Cocktails.,400000.0
2018-01-01,Bengaluru,Mechanical & Industrial Engineering,"Ashneer Grover, Shashvat Nakrani",Tiger Global,Series E,Zetwerk,ZETWERK is a universal manufacturing network powered by new-age technology.,150000000.0
2020-01-01,Bengaluru,Spiritual,Prashant Sachan,"Sequoia Capital India, BEENEXT",Seed,AppsForBharat,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",4000000.0
2011-01-01,Mumbai,Consumer Goods,"Disha Katharani, Ravi Jalan",Velocity,Venture - Series Unknown,Imagimake,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.",4000000.0
2018-01-01,Bengaluru,Finance,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",Series C,Khatabook,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,100000000.0
2015-01-01,Gurugram,Consumer Goods,"Aman Gupta, Sameer Mehta",Fireside Ventures,Series A,Smytten,India's largest premium discovery and trial platform!,6000000.0
2016-01-01,Bengaluru,Industrial Automation,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan","Inflection Point Ventures, ONGC",Series A,Syook,Syook is building the next generation enterprise IOT platform.,1000000.0
2020-01-01,Bengaluru,Finance,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi","Y Combinator, Incubate Fund India",Series C,Akudo,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,4000000.0
2019-01-01,Mumbai,Consumer Goods,"Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",Series A+,NOTO,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.",500000.0
2013-01-01,Noida,Information Technology,Shoaib Mohammad,Info Edge Ventures,Seed,Lumiq,Help enterprises monetize their data and reinvent the digital transformation journey.,2000000.0
2018-01-01,Gurugram,Information Technology,Piyush Pathak,NB Ventures,Seed,CommerceUp,Grow and manage ecommerce business from single dashboard,4000000.0
2015-01-01,Gurugram,Health,"Rohan Verma, Aditya Kaicker",Accel,Series A,Breathe Well-being,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.",5500000.0
